t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)"
86415.93517479706,0.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2431.7089978508,2589.583847383,1.7504749989945
86490.9126137824,1.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2479.9234811777,2527.1694915375,1.7417844097667
87023.72489060654,2.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2822.5501297398,2083.6342695482,1.6800264636954
87098.01867787239,3.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2870.3249886294,2021.789013985,1.6714151161214
87275.71434936523,4.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2984.5927617942,1873.8677056175,1.6508185192063
87424.40111938343,5.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3080.20626755,1750.0946200197,1.6335843263701
87474.88997199186,6.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3112.6732866323,1708.0655876124,1.6277321942549
87790.98502710868,7.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3315.9392286397,1444.9348443108,1.5910938091867
87882.46545697989,8.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3374.7660133426,1368.7827086798,1.5804903683496
87990.79933455845,9.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3444.4304618079,1278.6010583485,1.5679334546669
88058.08420226768,10.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3487.6982124302,1222.5903205445,1.5601345066844
88146.3499283008,11.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3544.457771489,1149.1142388305,1.5499036802087
88215.99372668422,12.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3589.2424400696,1091.1398284804,1.5418313100103
88372.77138172022,13.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3690.0588154628,960.63155182467,1.5236593076259
88451.81790657857,14.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3740.8899375498,894.8299187251,1.514497073136
88521.96816748074,15.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3786.0002884823,836.43390779362,1.506365999176
88708.11447972433,16.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3892.728822455,709.80100228285,1.4872899800797
88905.52985096734,17.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3841.0634784771,935.40630527197,1.4988280002238
88993.70525041333,18.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3817.9871986815,1036.1727125834,1.5039814466279
89145.28011971516,19.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3778.3187184027,1209.3917182722,1.512840300345
89253.18684363789,20.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3750.0785769492,1332.7069849199,1.5191469518812
89334.06158633395,21.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3728.9129434213,1425.1302380599,1.5238737084884
89707.96047713207,22.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3631.0603056839,1852.420028185,1.5457263783527
89769.81453689077,23.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3614.8725526546,1923.1065396006,1.5493414635561
89862.22200634854,24.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3653.4168481508,2033.6873371958,1.5200060213358
89953.6580871974,25.0,,-1000.0,,-1000.0,89954.15165624705,-132.04271492883,,-1000.0,,-1000.0,10.0,14.0,3770.7358680001,2149.3892938676,1.4471324223028
90007.6034667094,26.0,,-1000.0,,-1000.0,90008.0970356765,-131.30280426048,,-1000.0,,-1000.0,10.0,14.0,3839.9516413687,2217.6510337082,1.4041385196798
90227.23805605627,27.0,,-1000.0,90227.73162448668,-123.98935957365,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4121.7585004114,2495.5736163947,1.2290920517072
90438.56516760644,28.0,,-1000.0,90439.0587366817,-132.26050179218,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4392.9062723256,2762.9840311584,1.0606665565531
90497.06184152828,29.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4467.961681364,2837.0049162261,1.0140453199409
90915.4035864482,30.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4204.0443990959,3243.4480645538,1.1737150973569
91019.97145033121,31.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4130.1528530603,3343.8253884125,1.2185052599018
91114.769343193,32.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4063.1651323174,3434.824271239,1.259110593821
91167.2558841941,33.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4026.0761881942,3485.2074227031,1.2815924598126
91405.5075488685,34.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3857.7186910185,3713.9111909244,1.3836441838421
91633.4961084982,35.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3696.6134859976,3932.7631463553,1.4812998522757
91777.84477721632,36.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3609.0359094561,3862.6074478854,1.5027638958472
91964.04743387454,37.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3514.446654018,3506.1347629973,1.4790127362158
92107.69625684584,38.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3441.4743589215,3231.1285814281,1.4606895490686
92300.69661320456,39.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3343.4319338837,2861.6421495463,1.4360713059402
92874.83553892229,40.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3051.7745833588,1762.4911061481,1.3628367693335
92998.91961098932,41.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2988.741003714,1524.9403476604,1.3470091723686
93052.38523596124,42.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2961.5809526793,1422.5839408023,1.340189341673
93171.48923788383,43.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2901.0772033573,1194.567197603,1.3249969796886
93581.2354951328,44.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2692.9298327059,410.13505755793,1.2727316203273
93858.1155839919,45.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2861.8706443958,557.30840188774,1.2582790290908
94015.3631033303,46.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2980.7920595752,691.15134041803,1.2516194461495
94210.71329140408,47.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3128.5293397501,857.42578038534,1.2433461787203
94277.25876444353,48.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3178.8556142817,914.06668445149,1.2405279142483
94393.53391053852,49.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3266.7908960718,1013.0355413013,1.2356035505274
94495.33972144904,50.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3343.7834690415,1099.688665936,1.2312919769998
94663.4263673184,51.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3470.9021789815,1242.7574450526,1.2241733466762
94751.44809199993,52.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3537.4702756338,1317.678094583,1.2204455423927
94820.91807601984,53.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3590.0082669923,1376.8082280185,1.2175034220817
94935.49153195886,54.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3676.6566133675,1474.3286727604,1.2126511265676
95131.1287031983,55.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3824.6109299976,1640.8473815745,1.2043657051267
95265.83219242132,56.0,,-1000.0,,-1000.0,95266.3257614673,-132.01109887817,,-1000.0,,-1000.0,10.0,14.0,3926.4829953593,1755.5017233647,1.1986608834371
95574.68998136828,57.0,,-1000.0,,-1000.0,95575.1835497442,-122.76705812839,,-1000.0,,-1000.0,10.0,14.0,4160.0625488254,2018.3893939274,1.1855804604759
95786.78445504008,58.0,,-1000.0,,-1000.0,95787.27802407971,-131.95615934924,,-1000.0,,-1000.0,10.0,14.0,4320.4630121634,2198.9159149284,1.1765980565261
96219.73080910416,59.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4500.0707689082,2456.7623435339,1.175034529922
96277.2152977978,60.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4404.148907231,2401.3342340009,1.1884167253618
96423.32143911195,61.0,,-1000.0,,-1000.0,96423.815007951,-130.01994642782,,-1000.0,,-1000.0,10.0,14.0,4160.3479550817,2260.454713486,1.2224297431767
96792.9567228768,62.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3543.5536621157,1904.0423062193,1.3084795928178
96936.68621014808,63.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3303.7185290166,1765.454420258,1.3419393335729
97015.9844470454,64.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3171.3970161395,1688.9929006305,1.360399696156
97094.77847110631,65.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3039.9168612539,1613.0175567516,1.3787426796883
97204.20667460046,66.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2857.3187858828,1507.5039027707,1.4042171970592
97384.50984980928,67.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2556.4547332422,1333.6506708509,1.4461911692366
97611.74843310528,68.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2177.2716101077,1114.5410402128,1.4990915464033
97708.28644810733,69.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2016.1828306463,1021.4564570279,1.5215652712896
97973.24509706155,70.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1574.057877415,765.97611181252,1.5832467527526
98254.71578405688,71.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1104.3800057359,494.57440982839,1.6487721810819
98395.87615613232,72.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,868.83184322717,358.46373470645,1.6816338404686
98586.75999203965,73.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1015.4392338019,370.60899638821,1.6643309524338
98709.00137701115,74.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1181.6145915293,408.87962839355,1.6436548158688
98769.65196872804,75.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1264.0632137964,427.86776794255,1.6333962613098
99082.71690631197,76.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1689.6447630159,525.88034382134,1.5804438720292
99184.04304665074,77.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1827.3878655,557.60295094273,1.5633053790733
99349.00524474023,78.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2051.6380430106,609.24837020353,1.5354033642478
99454.63806022024,79.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2195.2356544432,642.31928648827,1.5175364322008
99689.01045967628,80.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2513.8422976029,715.69525366895,1.4778942460512
99808.969599348,81.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2676.9151632468,753.25137339978,1.4576041327262
99977.31400832084,82.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2905.7631298248,805.95567585395,1.4291300444238
100049.30487347709,83.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3003.6277586755,828.49416319834,1.4169533747979
100107.10735219854,84.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3082.2046463742,846.59063185877,1.4071765553998
100705.78139580195,85.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3896.0441932749,1034.0200692726,1.3059157075587
100887.37298551612,86.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4142.9004227592,1090.8717231283,1.2752009663205
100946.4718777224,87.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4223.2396593931,1109.3740654904,1.26520486912
101027.44732275956,88.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4333.3179569299,1134.725393596,1.2515085308431
101133.22428226058,89.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4234.6953691474,1222.2665812818,1.2659697301662
101224.56520073628,90.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4142.7226271065,1299.3893524092,1.2793661447764
101298.31272745668,91.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4068.4649738621,1361.65732299,1.2901822440769
101357.77456907372,92.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4008.5918226879,1411.8633213352,1.2989031491989
101562.18543787964,93.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3802.7670026545,1584.4555495934,1.3288828428023
101801.62724203776,94.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3561.6689312202,1786.6257901447,1.3640003097279
102105.71895682075,95.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3255.4737526836,2043.3825220926,1.4085995841686
102226.7294117231,96.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3133.6262440461,2145.5564631168,1.4263474484675
102471.30167280152,97.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2887.3622272857,2352.0585525415,1.4622173681731
102789.30103662529,98.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2567.1631976935,2620.5580658378,1.5088563925519
102871.69437070363,99.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2484.1999322973,2690.126035512,1.5209405196096
103181.7623014088,100.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2171.987199147,2951.9287243038,1.5664162891374
103290.97829815887,101.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2062.0157333088,3044.1441351114,1.5824343322986
103385.17591620034,102.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1967.1665313351,3123.6789313251,1.5962497215857
103599.47745400814,103.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1751.382626546,3304.6222448845,1.6276800192002
103763.6988581886,104.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1586.0252697744,3443.2809093708,1.6517653695009
103835.91055586308,105.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1513.3140692154,3504.2521183907,1.6623562181359
103931.4256528802,106.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1417.138274998,3584.8993145146,1.6763648340172
104036.65470822457,107.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1311.1813290435,3673.7483920877,1.6917981368344
104101.3208853515,108.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1246.0678429203,3728.348617939,1.701282330058
104153.21936250734,109.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1193.8103735253,3772.1685667892,1.708893962711
104211.04995105472,110.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1135.5797591272,3820.9972332743,1.7173756219089
104275.17800899027,111.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1071.0081144744,3875.1431036851,1.7267808924775
104364.96361044704,112.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,980.60144789447,3950.9526587807,1.7399491982403
104452.07217167933,113.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,892.89033916644,4024.5018823187,1.7527248788645
104706.69157709509,114.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,636.50967994367,4239.4871753964,1.790068351863
104781.60101946865,115.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,561.08207384119,4302.7361975858,1.8010548622354
104878.21671395555,116.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,604.26599097769,4331.8939783007,1.7665682276884
105183.99518180217,117.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1078.3152293639,4298.2757398627,1.5405577925499
105254.76472519324,118.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1188.0294560775,4290.4951155414,1.4882498082467
105323.72230208396,119.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1294.9345859128,4282.9137044684,1.4372811050907
105533.8205918618,120.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1620.6505689798,4259.8148432213,1.2819908839416
105594.24370273338,121.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1714.3246915931,4253.1717379603,1.2373302717125
105685.61130734664,122.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1855.9721518773,4243.1264985456,1.1697976157291
105750.17889688547,123.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1956.0714716916,4236.0277363739,1.1220736896127
105923.46601247293,124.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2186.5124519263,4201.7564765121,1.0114921254507
106029.12105701744,125.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2108.7952399627,4093.9333626585,1.0440240431551
106119.91109733016,126.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2042.0123538489,4001.2802868337,1.071978923422
106179.1331937591,127.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1998.4500588261,3940.8429374061,1.090213815808
106388.73413176092,128.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1844.2728437515,3726.9409330151,1.1547513917963
106565.089135448,129.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1714.5505076201,3546.9670782573,1.2090523150644
106636.2823506666,130.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1662.1825566021,3474.312959533,1.2309731975797
106736.3516722705,131.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1588.5740629265,3372.1901891238,1.2617852326243
106898.26544149044,132.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1469.4743381899,3206.9539067636,1.3116396000914
107101.365705957,133.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1320.0788562093,2999.685971439,1.3741755738146
107372.43613577144,134.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1120.6862181979,2723.0531050922,1.4576400307446
107661.17541328422,135.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,908.29681711044,2428.388821644,1.5465448478744
